Geography,FIPS,Estimate (Total consumer expenditures per household ),MoE (Total consumer expenditures per household )
"Census Tract 114.28, Georgia",13121011428,205324.11,
"Census Tract 114.29, Georgia",13121011429,137212.61,
"Census Tract 114.30, Georgia",13121011430,62855.16,
"Census Tract 114.31, Georgia",13121011431,92568.95,
"Census Tract 114.32, Georgia",13121011432,81698.4,
"Census Tract 114.33, Georgia",13121011433,172701.84,
"Census Tract 114.34, Georgia",13121011434,97030.17,
"Census Tract 114.35, Georgia",13121011435,106240.36,
"Census Tract 114.36, Georgia",13121011436,155335.47,
"Census Tract 114.37, Georgia",13121011437,123834.93,
"Census Tract 114.38, Georgia",13121011438,125814.67,
"Census Tract 114.39, Georgia",13121011439,163673.31,
"Census Tract 114.40, Georgia",13121011440,175398.43,
"Census Tract 114.41, Georgia",13121011441,127166.22,
"Census Tract 114.42, Georgia",13121011442,144775.36,
"Census Tract 114.43, Georgia",13121011443,177332.14,
"Census Tract 114.44, Georgia",13121011444,213983.84,
"Census Tract 114.45, Georgia",13121011445,183077.88,
"Census Tract 114.46, Georgia",13121011446,200929.26,
"Census Tract 115.05, Georgia",13121011505,190270.89,
"Census Tract 115.07, Georgia",13121011507,227196.02,
"Census Tract 115.08, Georgia",13121011508,243105.19,
"Census Tract 115.09, Georgia",13121011509,223082.68,
"Census Tract 115.10, Georgia",13121011510,197304.29,
"Census Tract 115.11, Georgia",13121011511,198184.6,
"Census Tract 115.12, Georgia",13121011512,202910.69,
"Census Tract 115.13, Georgia",13121011513,196261.29,
"Census Tract 115.14, Georgia",13121011514,216175.63,
"Census Tract 115.15, Georgia",13121011515,231715.66,
"Census Tract 116.12, Georgia",13121011612,203632.16,
"Census Tract 116.18, Georgia",13121011618,157268.01,
"Census Tract 116.24, Georgia",13121011624,216344.92,
"Census Tract 116.27, Georgia",13121011627,138296.61,
"Census Tract 116.28, Georgia",13121011628,111175.42,
"Census Tract 116.29, Georgia",13121011629,184724.77,
"Census Tract 116.30, Georgia",13121011630,159258.35,
"Census Tract 116.31, Georgia",13121011631,125712.38,
"Census Tract 116.32, Georgia",13121011632,135045.06,
"Census Tract 116.33, Georgia",13121011633,145976.24,
"Census Tract 116.34, Georgia",13121011634,111788.63,
"Census Tract 116.35, Georgia",13121011635,164933.48,
"Census Tract 116.36, Georgia",13121011636,73911.42,
"Census Tract 116.37, Georgia",13121011637,221296.46,
"Census Tract 116.38, Georgia",13121011638,141711.34,
"Census Tract 116.39, Georgia",13121011639,127714.48,
"Census Tract 116.40, Georgia",13121011640,137481.01,
"Census Tract 116.41, Georgia",13121011641,225172.79,
"Census Tract 116.42, Georgia",13121011642,103082.04,
"Census Tract 116.43, Georgia",13121011643,64475.9,
"Census Tract 116.44, Georgia",13121011644,111768.36,
"Census Tract 116.45, Georgia",13121011645,114561.6,
"Census Tract 116.46, Georgia",13121011646,124656.13,
"Census Tract 116.47, Georgia",13121011647,115509.2,
"Census Tract 116.48, Georgia",13121011648,169712.42,
"Census Tract 116.49, Georgia",13121011649,176389.07,
"Census Tract 116.50, Georgia",13121011650,153421.6,
"Census Tract 116.51, Georgia",13121011651,159184.21,
"Census Tract 116.52, Georgia",13121011652,137786.19,
"Census Tract 116.53, Georgia",13121011653,243434.7,
"Census Tract 116.54, Georgia",13121011654,144059.1,
"Census Tract 116.55, Georgia",13121011655,181464.48,
"Census Tract 116.56, Georgia",13121011656,191002.55,
"Census Tract 116.57, Georgia",13121011657,176166.2,
"Census Tract 116.58, Georgia",13121011658,140014.94,
"Census Tract 116.59, Georgia",13121011659,156104.45,
"Census Tract 116.60, Georgia",13121011660,128634.12,
"Census Tract 116.61, Georgia",13121011661,215387.81,
"Census Tract 118.01, Georgia",13121011801,55780.99,
"Census Tract 118.02, Georgia",13121011802,42424.8,
"Census Tract 119.01, Georgia",13121011901,60077.79,
"Census Tract 119.02, Georgia",13121011902,66956.18,
"Census Tract 12, Georgia",13059001200,105671.12,
"Census Tract 12.02, Georgia",13139001202,58136.86,
"Census Tract 12.03, Georgia",13121001203,89334.54,
"Census Tract 12.04, Georgia",13121001204,146423.2,
"Census Tract 12.04, Georgia",13139001204,71906.76,
"Census Tract 12.05, Georgia",13121001205,108625.24,
"Census Tract 12.06, Georgia",13121001206,148984.45,
"Census Tract 120, Georgia",13121012000,37698.57,
"Census Tract 1201.04, Georgia",13223120104,100985.29,
"Census Tract 1201.05, Georgia",13223120105,162676.11,
"Census Tract 1201.06, Georgia",13223120106,81193.89,
"Census Tract 1201.07, Georgia",13223120107,124146.02,
"Census Tract 1201.08, Georgia",13223120108,109307.01,
"Census Tract 1201.09, Georgia",13223120109,102006.33,
"Census Tract 1201.10, Georgia",13223120110,139420.75,
"Census Tract 1201.11, Georgia",13223120111,111483.87,
"Census Tract 1202.03, Georgia",13223120203,98335.47,
"Census Tract 1202.05, Georgia",13223120205,124940.67,
"Census Tract 1202.06, Georgia",13223120206,108194.99,
"Census Tract 1202.07, Georgia",13223120207,101135.05,
"Census Tract 1202.08, Georgia",13223120208,90403.73,
"Census Tract 1203.01, Georgia",13223120301,71213.6,
"Census Tract 1203.03, Georgia",13223120303,78262.11,
"Census Tract 1203.04, Georgia",13223120304,72629.63,
"Census Tract 1203.05, Georgia",13223120305,72747.69,
"Census Tract 1203.06, Georgia",13223120306,65106.33,
"Census Tract 1203.07, Georgia",13223120307,60356.9,
"Census Tract 1204.01, Georgia",13223120401,68075.35,
"Census Tract 1204.02, Georgia",13223120402,84741.28,
"Census Tract 1204.03, Georgia",13223120403,71993.07,
"Census Tract 1205.03, Georgia",13223120503,97942.98,
"Census Tract 1205.04, Georgia",13223120504,82684.43,
"Census Tract 1205.05, Georgia",13223120505,95568.64,
"Census Tract 1205.06, Georgia",13223120506,81682.14,
"Census Tract 1205.07, Georgia",13223120507,80160.05,
"Census Tract 1206.01, Georgia",13223120601,89066.6,
"Census Tract 1206.03, Georgia",13223120603,98016.27,
"Census Tract 1206.04, Georgia",13223120604,96564.97,
"Census Tract 1206.05, Georgia",13223120605,90985.93,
"Census Tract 1206.06, Georgia",13223120606,100851.9,
"Census Tract 1206.07, Georgia",13223120607,98522.24,
"Census Tract 123, Georgia",13121012300,104783.04,
"Census Tract 13.01, Georgia",13121001301,93793.26,
"Census Tract 13.02, Georgia",13139001302,79527.8,
"Census Tract 13.02, Georgia",13121001302,126265.55,
"Census Tract 13.03, Georgia",13139001303,85892.86,
"Census Tract 13.04, Georgia",13139001304,87348.16,
"Census Tract 1303, Georgia",13059130300,64224.06,
"Census Tract 1303.02, Georgia",13117130302,155249.79,
"Census Tract 1303.04, Georgia",13117130304,158187.46,
"Census Tract 1303.06, Georgia",13117130306,172452.04,
"Census Tract 1303.07, Georgia",13117130307,140061.17,
"Census Tract 1304, Georgia",13059130400,82508.33,
"Census Tract 1304.06, Georgia",13117130406,104735.77,
"Census Tract 1304.10, Georgia",13117130410,108033.25,
"Census Tract 1304.13, Georgia",13117130413,77187.66,
"Census Tract 1304.14, Georgia",13117130414,144969.1,
"Census Tract 1305, Georgia",13059130500,96183.35,
"Census Tract 1305.03, Georgia",13117130503,148352.08,
"Census Tract 1305.04, Georgia",13117130504,116073.32,
"Census Tract 1305.05, Georgia",13117130505,128354.12,
"Census Tract 1305.07, Georgia",13117130507,122416.77,
"Census Tract 1305.08, Georgia",13117130508,157952.31,
"Census Tract 1305.09, Georgia",13117130509,118690.18,
"Census Tract 1305.11, Georgia",13117130511,168279.39,
"Census Tract 1305.12, Georgia",13117130512,153436.11,
"Census Tract 1306.01, Georgia",13059130601,66973.77,
"Census Tract 1306.01, Georgia",13117130601,113673.85,
"Census Tract 1306.02, Georgia",13059130602,89008.73,
"Census Tract 1306.02, Georgia",13117130602,123150.94,
"Census Tract 1306.03, Georgia",13117130603,151199.81,
"Census Tract 1306.04, Georgia",13117130604,177617.08,
"Census Tract 1306.05, Georgia",13117130605,150153.27,
"Census Tract 1306.06, Georgia",13117130606,143465.48,
"Census Tract 1306.07, Georgia",13117130607,163849.48,
"Census Tract 1306.08, Georgia",13117130608,163716.61,
"Census Tract 1306.09, Georgia",13117130609,154784.27,
"Census Tract 1306.10, Georgia",13117130610,182395.99,
"Census Tract 1306.11, Georgia",13117130611,181491.73,
"Census Tract 1306.13, Georgia",13117130613,154933.37,
"Census Tract 1306.14, Georgia",13117130614,132362.59,
"Census Tract 1306.15, Georgia",13117130615,209694.69,
"Census Tract 1307.01, Georgia",13059130701,83188.77,
"Census Tract 1307.02, Georgia",13059130702,74639.44,
"Census Tract 14, Georgia",13115001400,100673.49,
"Census Tract 14, Georgia",13121001400,117211.22,
"Census Tract 14.04, Georgia",13139001404,73807.02,
"Census Tract 1401.02, Georgia",13113140102,87904.33,
"Census Tract 1401.03, Georgia",13113140103,82336.83,
"Census Tract 1401.04, Georgia",13113140104,96259.87,
"Census Tract 1402.03, Georgia",13113140203,125872.38,
"Census Tract 1402.04, Georgia",13113140204,102355.93,
"Census Tract 1402.06, Georgia",13113140206,157257.88,
"Census Tract 1402.07, Georgia",13113140207,137713.54,
"Census Tract 1402.09, Georgia",13113140209,104505.61,
"Census Tract 1402.10, Georgia",13113140210,117673.7,
"Census Tract 1403, Georgia",13059140300,52648.74,
"Census Tract 1403.03, Georgia",13113140303,124542.58,
"Census Tract 1403.04, Georgia",13113140304,106436.19,
"Census Tract 1403.05, Georgia",13113140305,124943.06,
"Census Tract 1403.07, Georgia",13113140307,200509.24,
"Census Tract 1403.08, Georgia",13113140308,127218.38,
"Census Tract 1403.09, Georgia",13113140309,95706.4,
"Census Tract 1404, Georgia",13059140400,53547.7,
"Census Tract 1404.03, Georgia",13113140403,111854.56,
"Census Tract 1404.04, Georgia",13113140404,92947,
"Census Tract 1404.05, Georgia",13113140405,110605,
"Census Tract 1404.06, Georgia",13113140406,62552.46,
"Census Tract 1404.08, Georgia",13113140408,110441.63,
